Tiempo (s)	Voltaje de entrada (V)	Corriente de salida (A)
7.817817818	10.89766366	0.108976636
7.827827828	10.89766366	0.108976636
7.837837838	10.89766366	0.108976636
7.847847848	10.89766366	0.108976636
7.857857858	10.89766366	0.108976636
7.867867868	10.89766366	0.108976636
7.877877878	10.89766366	0.108976636
7.887887888	10.89766366	0.108976636
7.897897898	10.89766366	0.108976636
7.907907908	10.89766366	0.108976636
7.917917918	10.89766366	0.108976636
7.927927928	10.89766366	0.108976636
7.937937938	10.89766366	0.108976636
7.947947948	10.89766366	0.108976636
7.957957958	10.89766366	0.108976636
7.967967968	10.89766366	0.108976636
7.977977978	10.89766366	0.108976636
7.987987988	10.89766366	0.108976636
7.997997998	10.89766366	0.108976636
8.008008008	8.473095987	0.108829284
8.018018018	8.473095987	0.108279793
8.028028028	8.473095987	0.107403034
8.038038038	8.473095987	0.106274279
8.048048048	8.473095987	0.10495971
8.058058058	8.473095987	0.103516877
8.068068068	8.473095987	0.10199521
8.078078078	8.473095987	0.100436603
8.088088088	8.473095987	0.098876016
8.098098098	8.473095987	0.097342106
8.108108108	8.473095987	0.095857842
8.118118118	8.473095987	0.09444113
8.128128128	8.473095987	0.0931054
8.138138138	8.473095987	0.091860175
8.148148148	8.473095987	0.090711615
8.158158158	8.473095987	0.089663006
8.168168168	8.473095987	0.088715224
8.178178178	8.473095987	0.087867163
8.188188188	8.473095987	0.087116105
8.198198198	8.473095987	0.08645807
8.208208208	8.473095987	0.085888108
8.218218218	8.473095987	0.085400577
8.228228228	8.473095987	0.084989358
8.238238238	8.473095987	0.084648062
8.248248248	8.473095987	0.084370192
8.258258258	8.473095987	0.084149278
